unit,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PER_KM2,AL	: 	: 	: 	: 	: 	100.7 	100.6 	100.4 	100.1 	99.9 	99.8 	99.6 
PER_KM2,AT	100.6 	100.9 	101.2 	101.5 	101.8 	102.3 	102.9 	103.7 	104.9 	106.0 b	106.8 	107.1 
PER_KM2,BE	350.4 	353.1 	356.0 	359.5 	364.3 	366.3 	368.0 	369.6 	371.8 	373.7 b	373.6 	375.3 
PER_KM2,BG	68.0 	67.5 	67.1 	67.9 	67.5 	67.1 	66.7 	66.3 	66.2 	64.8 b	64.3 	63.9 
PER_KM2,CH	188.8 	191.2 	193.6 	195.6 	197.8 	199.9 	202.3 	204.7 	207.1 	210.1 b	212.0 	213.6 
PER_KM2,CY	82.9 	85.4 	87.7 	90.0 	92.3 	93.8 	93.5 	92.5 	92.0 	92.4 b	93.3 	94.4 
PER_KM2,CZ	133.3 	134.4 	135.2 	135.6 	135.9 	136.1 	136.1 	136.3 	136.6 	136.8 b	137.2 	137.7 
PER_KM2,DE	230.4 	229.9 	229.3 	229.0 	224.8 	225.2 	225.8 	226.5 	228.4 	233.1 b	234.0 	234.7 
PER_KM2,DK	126.7 	127.5 	128.2 	128.7 	129.7 	130.4 	130.8 	131.5 	132.4 	136.4 b	137.3 	138.0 
PER_KM2,EE	30.9 	30.8 	30.7 	30.7 	30.6 	30.5 	30.3 	30.3 	30.3 	30.3 b	30.3 	30.4 
PER_KM2,EL	84.5 	84.7 	84.9 	85.0 	84.1 	83.6 	83.0 	82.5 	82.7 	82.4 b	82.2 	82.5 
PER_KM2,ES	90.1 	91.6 	92.4 	92.8 	93.2 	93.2 	92.9 	92.5 	92.5 	92.5 b	92.7 	93.1 
PER_KM2,EU27_2007	115.2 e	115.6 e	116.0 e	116.3 e	116.2 e	116.5 e	116.7 e	117.4 e	117.6 e	118.2 b	118.3 	118.6 
PER_KM2,EU27_2020	106.5 e	106.9 e	107.1 e	107.3 e	107.1 e	107.3 e	107